cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2024-01,100.0,90.0,90.0,90.0,90.0,70.0,70.0,70.0,70.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,10.0
2024-02,100.0,100.0,87.5,87.5,87.5,75.0,75.0,75.0,75.0,62.5,62.5,62.5,62.5,50.0,12.5,12.5,
2024-03,100.0,100.0,100.0,84.61538461538461,69.23076923076923,69.23076923076923,69.23076923076923,61.53846153846154,53.84615384615385,46.15384615384615,46.15384615384615,46.15384615384615,46.15384615384615,46.15384615384615,38.46153846153847,15.384615384615385,
2024-04,100.0,100.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,50.0,40.0,40.0,20.0,,,,
2024-05,100.0,100.0,100.0,80.0,60.0,60.0,50.0,50.0,40.0,40.0,40.0,30.0,20.0,,,,
2024-06,100.0,100.0,100.0,90.0,90.0,70.0,50.0,50.0,50.0,30.0,10.0,10.0,,,,,
2024-07,100.0,100.0,60.0,50.0,50.0,50.0,50.0,50.0,40.0,20.0,,,,,,,
2024-08,100.0,100.0,87.5,75.0,62.5,50.0,50.0,25.0,12.5,12.5,,,,,,,
2024-09,100.0,100.0,83.33333333333334,50.0,50.0,50.0,33.33333333333333,16.666666666666664,,,,,,,,,
2024-10,100.0,100.0,100.0,90.9090909090909,81.81818181818183,72.72727272727273,54.54545454545454,18.181818181818183,9.090909090909092,,,,,,,,
2024-11,100.0,100.0,100.0,100.0,85.71428571428571,57.14285714285714,,,,,,,,,,,
2024-12,100.0,100.0,90.9090909090909,81.81818181818183,36.36363636363637,36.36363636363637,27.27272727272727,,,,,,,,,,
2025-01,100.0,100.0,81.81818181818183,54.54545454545454,36.36363636363637,18.181818181818183,,,,,,,,,,,
2025-02,100.0,100.0,63.63636363636363,27.27272727272727,18.181818181818183,,,,,,,,,,,,
2025-03,100.0,100.0,61.53846153846154,23.076923076923077,,,,,,,,,,,,,
2025-04,100.0,100.0,12.5,,,,,,,,,,,,,,
2025-05,100.0,,,,,,,,,,,,,,,,
2025-06,100.0,,,,,,,,,,,,,,,,
